,mod
0,VS500PP
1,AO5510
2,ASUS_X014D
3,Nexus 5
4,LG-D331
5,HUAWEI P7-L10
6,ONE A2003
7,SM-G903F
8,ALE-L21
9,Aquaris M5
10,ASUS_Z017D
11,bq Aquaris 5 HD
12,SM-G920F
13,SM-G950F
14,U FEEL LITE
15,HUAWEI NXT-L29
16,HUAWEI SCL-L21
17,CHM-U01
18,D5503
19,SM-G930F
20,EDI-AL10
21,KIW-L21
22,HUAWEI VNS-L31
23,SM-G955F
24,Mi-4c
25,HTC 10
26,Archos 55 diamond Selfie
27,PRA-LX1
28,SM-J730F
29,F5321
30,SM-A320FL
31,SM-G935F
32,SM-G900FD
33,U FEEL PRIME
34,Redmi Note 3
35,IRON Pro
36,ONEPLUS A3003
37,VF-895N
38,Aquaris E5
39,Le 1 Pro
40,EVA-L09
41,SM-G925F
42,X5
43,VFD 700
44,WAS-LX1A
45,SM-G900F
46,UMI_SUPER
47,6045Y
48,SM-G388F
49,ASUS_Z011D
50,MotoG3
51,SM-T280
52,C NOTE
53,ZTE BLADE A512
54,Le X829
55,GT-I9505
56,LG-V480
57,SUPER
58,GT-I9195
59,SM-P605
60,Apollo Lite
61,LG-D405
62,HUAWEI MT7-L09
63,LG-H960
64,PULP FAB
65,MI 5s Plus
66,SM-A310F
67,Aquaris U Plus
68,SM-N950F
69,A0001
70,ASUS_Z00AD
71,SM-A500FU
72,HUAWEI GRA-L09
73,HT20Pro
74,SM-A700F
75,D6503
76,Mi A1
77,ASUS_X008D
78,SM-N910F
79,HUAWEI G750-U10
80,LG-H850
81,SM-N9005
82,HUAWEI CAN-L11
83,SM-A520F
84,Archos 50b Neon
85,Redmi 4X
86,MYA-L41
87,LG-K420
88,P9000
89,Valencia2_Y100pro
90,F5122
91,SM-G928F
92,Redmi Note 4
93,LG-D855
94,CAM-L21
95,XT1032
96,MI 5
97,STARADDICT 6
98,TRT-LX1
99,SM-J500F
100,E2303
101,Redmi 4A
102,VFD 600
103,TA-1024
104,HUAWEI CUN-L21
105,GETAWAY
106,RIDGE FAB 4G
107,5051D
108,CUBOT_MANITO
109,ONEPLUS A5000
110,SM-G531F
111,Aquaris M5.5
112,Vodafone Smart ultra 6
113,VTR-L29
114,MI 6
115,9008X
116,6044D
117,LG-K220
118,6070K
119,CHC-U01
120,GT-I9060
121,SM-J3110
122,FRD-L09
123,T09
124,ASUS_X00DD
125,VFD 610
126,Aquaris E4.5
127,VF685
128,RAINBOW JAM
129,SM-J710F
130,SM-A510F
131,Aquaris X5 Plus
132,SM-A300FU
133,SM-T561
134,ASUS_X00AD
135,Aquaris E4
136,NOS NOVU
137,SM-G532F
138,SM-T535
139,GT-I9301I
140,GT-I9500
141,SM-T310
142,Nexus 6
143,SM-G360F
144,TA-1020
145,NOS NOVU II
146,ASUS_Z012D
147,Hisense L678
148,SM-J510FN
149,RIDGE 4G
150,RAINBOW LITE
151,SM-J700H
152,B3-A20
153,FRD-L19
154,LG-H815
155,VKY-L09
156,6045K
157,SM-J500FN
158,Le X620
159,LG-H650
160,Lenovo A806
161,VFD 500
162,Moto G (5) Plus
163,ZE553KL
164,E2003
165,Redmi 3S
166,RAINBOW
167,SAMSUNG  GALAXY  4
168,Moto G Play
169,SM-J120H
170,5045J
171,SM-J530F
172,SAMSUNG-SM-G870A
173,Apollo
174,Nexus S
175,Redmi Note 2
176,SM-T715
177,SM-G800F
178,LG-H500
179,P00A
180,SM-J320F
181,HUAWEI TAG-L21
182,Nexus 5X
183,ONE E1003
184,SM-T585
185,TA-1032
186,Redmi 4
187,SUNSET2
188,F5
189,ASUS_Z00VD
190,PULP
191,CINK FIVE
192,UMI TOUCH
193,LG-D290
194,SM-N910U
195,SAMSUNG-SM-J320A
196,BIRDY
197,VFD 710
198,G620S-L01
199,E6653
200,SHV-E310L
201,5022D
202,GI-I9500_TMMARS
203,HTC One M8s
204,SM-J320FN
205,8050D
206,HUAWEI CAN-L01
207,LON-L29
208,VTR-L09
209,Archos 50f Helium
210,6039K
211,SM-N900
212,LG-H320
213,SM-G850F
214,GT-P5100
215,Aquaris E5 FHD
216,Lenovo K50-t5
217,K6000 Plus
218,S5.5
219,Moto G (4)
220,HUAWEI CUN-L01
221,ASUS_Z00UD
222,GS53-6
223,ALCATEL ONE TOUCH 7041X
224,X800+
225,Elephone P7000
226,BG2-W09
