,capacity
VS500PP,2125
AO5510,2500
ASUS_X014D,2070
Nexus 5,2300
LG-D331,2540
HUAWEI P7-L10,2500
ONE A2003,3300
SM-G903F,2800
ALE-L21,2200
Aquaris M5,3120
ASUS_Z017D,2600
bq Aquaris 5 HD,2850
SM-G920F,2550
SM-G950F,3000
U FEEL LITE,2500
HUAWEI NXT-L29,4000
HUAWEI SCL-L21,2200
CHM-U01,2550
D5503,2300
SM-G930F,3000
EDI-AL10,4500
KIW-L21,3000
HUAWEI VNS-L31,3000
SM-G955F,3500
Mi-4c,3080
HTC 10,3000
Archos 55 diamond Selfie,2850
PRA-LX1,3000
SM-J730F,3600
F5321,2700
SM-A320FL,2350
SM-G935F,3600
SM-G900FD,2800
U FEEL PRIME,3000
Redmi Note 3,4050
ONEPLUS A3003,3000
VF-895N,2500
Le 1 Pro,4000
EVA-L09,3000
SM-G925F,2600
X5,3060
VFD 700,2960
WAS-LX1A,3000
SM-G900F,2800
6045Y,2910
SM-G388F,2200
ASUS_Z011D,3000
MotoG3,2470
SM-T280,4000
C NOTE,4000
ZTE BLADE A512,2540
Le X829,3100
GT-I9505,2600
LG-V480,4200
GT-I9195,1900
SM-P605,8220
LG-D405,2540
HUAWEI MT7-L09,4100
LG-H960,3000
PULP FAB,2820
MI 5s Plus,3800
SM-A310F,2300
Aquaris U Plus,3050
SM-N950F,3300
A0001,3100
ASUS_Z00AD,3000
SM-A500FU,2300
HUAWEI GRA-L09,2680
SM-A700F,2600
D6503,3200
Mi A1,3080
ASUS_X008D,4100
SM-N910F,3220
HUAWEI G750-U10,3000
LG-H850,2800
SM-N9005,3200
HUAWEI CAN-L11,3020
SM-A520F,3000
Archos 50b Neon,1900
Redmi 4X,4100
MYA-L41,3000
LG-K420,2300
F5122,2620
SM-G928F,3000
Redmi Note 4,4100
LG-D855,3000
CAM-L21,2200
XT1032,2070
MI 5,3000
TRT-LX1,4000
SM-J500F,2600
E2303,2400
Redmi 4A,3120
VFD 600,2540
TA-1024,3000
HUAWEI CUN-L21,2200
GETAWAY,2000
RIDGE FAB 4G,2820
5051D,2500
ONEPLUS A5000,3300
SM-G531F,2600
Aquaris M5.5,3620
Vodafone Smart ultra 6,3000
VTR-L29,3200
MI 6,3350
9008X,3000
6044D,2000
LG-K220,4100
6070K,3000
CHC-U01,2550
SM-J3110,2600
FRD-L09,3000
T09,2000
ASUS_X00DD,4100
VFD 610,2400
VF685,1400
RAINBOW JAM,2500
SM-J710F,3300
SM-A510F,2900
Aquaris X5 Plus,3200
SM-A300FU,1900
SM-T561,5000
ASUS_X00AD,2600
NOS NOVU,2000
SM-G532F,2600
SM-T535,6800
GT-I9301I,2100
GT-I9500,2600
SM-T310,4450
Nexus 6,3220
SM-G360F,2000
TA-1020,2630
NOS NOVU II,2000
ASUS_Z012D,3000
SM-J510FN,3100
RIDGE 4G,2400
RAINBOW LITE,2000
SM-J700H,3000
B3-A20,5910
FRD-L19,3000
LG-H815,3000
VKY-L09,3750
6045K,2910
SM-J500FN,2600
Le X620,3000
LG-H650,2050
Lenovo A806,2500
VFD 500,2000
Moto G (5) Plus,3000
ZE553KL,5000
E2003,2300
Redmi 3S,4100
RAINBOW,2000
SAMSUNG  GALAXY  4,2600
Moto G Play,2800
SM-J120H,2050
5045J,2000
SM-J530F,3000
SAMSUNG-SM-G870A,2800
Apollo,1200
Nexus S,1500
Redmi Note 2,3060
SM-T715,4000
SM-G800F,2100
LG-H500,2540
P00A,4000
